entityID	emailAddressTypeID	emailAddress
1	1	newpatient@simspecialty.com
2	1	
3	1	
4	1	
5	1	
6	1	newpatient@simspecialty.com
7	1	newpatient@simspecialty.com
8	1	newpatient@simspecialty.com
9	1	newpatient@simspecialty.com
10	1	newpatient@simspecialty.com
11	1	newpatient@simspecialty.com
12	1	newpatient@simspecialty.com
13	1	newpatient@simspecialty.com
14	1	wausau@kristoorthodontics.com
15	1	wausau@kristoorthodontics.com
16	1	kristoeast@kristoorthodontics.com
17	1	scv@kristoorthodontics.com
18	1	scv@kristoorthodontics.com
19	1	scv@kristoorthodontics.com
20	1	scv@kristoorthodontics.com
21	1	
22	1	
23	1	
24	1	
25	1	
26	1	
27	1	
28	1	
29	1	
1	2	support@kristoorthdontics.com
2	2	
3	2	
4	2	
5	2	
6	2	support@kristoorthdontics.com
7	2	support@kristoorthdontics.com
8	2	support@kristoorthdontics.com
9	2	support@kristoorthdontics.com
10	2	support@kristoorthdontics.com
11	2	support@kristoorthdontics.com
12	2	support@kristoorthdontics.com
13	2	support@kristoorthdontics.com
14	2	wausau@kristoorthodontics.com
15	2	wausau@kristoorthodontics.com
16	2	kristoeast@kristoorthodontics.com
17	2	scv@kristoorthodontics.com
18	2	scv@kristoorthodontics.com
19	2	scv@kristoorthodontics.com
20	2	scv@kristoorthodontics.com
21	2	
22	2	
23	2	
24	2	
25	2	
26	2	
27	2	
28	2	
29	2	
1	3	newpatient@simspecialty.com
2	3	
3	3	
4	3	
5	3	
6	3	newpatient@simspecialty.com
7	3	newpatient@simspecialty.com
8	3	newpatient@simspecialty.com
9	3	newpatient@simspecialty.com
10	3	newpatient@simspecialty.com
11	3	newpatient@simspecialty.com
12	3	newpatient@simspecialty.com
13	3	newpatient@simspecialty.com
14	3	wausau@kristoorthodontics.com
15	3	wausau@kristoorthodontics.com
16	3	kristoeast@kristoorthodontics.com
17	3	scv@kristoorthodontics.com
18	3	scv@kristoorthodontics.com
19	3	scv@kristoorthodontics.com
20	3	scv@kristoorthodontics.com
21	3	
22	3	
23	3	
24	3	
25	3	
26	3	
27	3	
28	3	
29	3	
1	4	newpatient@simspecialty.com
2	4	
3	4	
4	4	
5	4	
6	4	newpatient@simspecialty.com
7	4	newpatient@simspecialty.com
8	4	newpatient@simspecialty.com
9	4	newpatient@simspecialty.com
10	4	newpatient@simspecialty.com
11	4	newpatient@simspecialty.com
12	4	newpatient@simspecialty.com
13	4	newpatient@simspecialty.com
14	4	wausau@kristoorthodontics.com
15	4	wausau@kristoorthodontics.com
16	4	kristoeast@kristoorthodontics.com
17	4	scv@kristoorthodontics.com
18	4	scv@kristoorthodontics.com
19	4	scv@kristoorthodontics.com
20	4	scv@kristoorthodontics.com
21	4	
22	4	
23	4	
24	4	
25	4	
26	4	
27	4	
28	4	
29	4	
1	5	events@kristoorthodontics.com
2	5	
3	5	
4	5	
5	5	
6	5	events@kristoorthodontics.com
7	5	events@kristoorthodontics.com
8	5	events@kristoorthodontics.com
9	5	events@kristoorthodontics.com
10	5	events@kristoorthodontics.com
11	5	events@kristoorthodontics.com
12	5	events@kristoorthodontics.com
13	5	events@kristoorthodontics.com
14	5	events@kristoorthodontics.com
15	5	events@kristoorthodontics.com
16	5	events@kristoorthodontics.com
17	5	events@kristoorthodontics.com
18	5	events@kristoorthodontics.com
19	5	events@kristoorthodontics.com
20	5	events@kristoorthodontics.com
21	5	
22	5	
23	5	
24	5	
25	5	
26	5	
27	5	
28	5	
29	5	
1	5	
2	5	
3	5	
4	5	
5	5	
6	5	info@kristoorthodontics.com
7	5	info@kristoorthodontics.com
8	5	info@kristoorthodontics.com
9	5	info@kristoorthodontics.com
10	5	info@kristoorthodontics.com
11	5	info@kristoorthodontics.com
12	5	info@kristoorthodontics.com
13	5	info@kristoorthodontics.com
14	5	wausau@kristoorthodontics.com
15	5	wausau@kristoorthodontics.com
16	5	kristoeast@kristoorthodontics.com
17	5	scv@kristoorthodontics.com
18	5	scv@kristoorthodontics.com
19	5	scv@kristoorthodontics.com
20	5	scv@kristoorthodontics.com
21	5	
22	5	
23	5	
24	5	
25	5	
26	5	
27	5	
28	5	
29	5	
1	6	NOT POSSIBLE
2	6	
3	6	
4	6	
5	6	
6	6	info@kristoorthodontics.com
7	6	info@kristoorthodontics.com
8	6	info@kristoorthodontics.com
9	6	info@kristoorthodontics.com
10	6	info@kristoorthodontics.com
11	6	info@kristoorthodontics.com
12	6	info@kristoorthodontics.com
13	6	info@kristoorthodontics.com
14	6	wausau@kristoorthodontics.com
15	6	wausau@kristoorthodontics.com
16	6	krisoteast@kristoorthodontics.com
17	6	scv@kristoorthodontics.com
18	6	scv@kristoorthodontics.com
19	6	scv@kristoorthodontics.com
20	6	scv@kristoorthodontics.com
21	6	
22	6	
23	6	
24	6	
25	6	
26	6	
27	6	
28	6	
29	6	
